"sitename","means","country","type"
"Tunguskhaya",-0.00511860508224235,"Russia","NA__NA"
"UCI-1850 burn site",-0.00690643484730319,"Canada","inactive__Summer"
"UCI-1930 burn site",-0.00785457170877983,"Canada","inactive__Summer"
"UCI-1981 burn site",-0.00723187333667428,"Canada","inactive__Summer"
"UCI-1989 burn site",-0.0099525051533522,"Canada","inactive__Summer"
"UCI-1998 burn site",-0.00963907503634849,"Canada","inactive__Summer"
"Uapishka Research Station",-0.00736718689838152,"Canada","NA__NA"
"Udachnyy",-0.00493928703765876,"Russia","NA__NA"
"Ust Kut",-0.0125131359508276,"Russia","NA__NA"
"Ust Kuyga",-0.0114094341437062,"Russia","NA__NA"
"Ust Nera",-0.00470251111430069,"Russia","NA__NA"
"Utikuma Region, Northern Study Area",-0.00934532234053438,"Canada","inactive__Summer"
"Utkholok",-0.00971825285696106,"Russia","NA__NA"
"Verkhoyansk",-0.00140107023580705,"Russia","NA__NA"
"Vitim",-0.010246627152346,"Russia","NA__NA"
"Volkhov",-0.00549300941004116,"Russia","NA__NA"
"Wiseman",-0.00709656716885188,"United States","NA__NA"
"Yellowknife",-0.00567205221529855,"Canada","NA__NA"
"Zhilinda",-0.00603672357643071,"Russia","NA__NA"
"Zlatoust",-0.00631181211734265,"Russia","NA__NA"
