"sitename","means","country","type"
"Abisko, main tower",-0.00151214489580193,"Sweden","active_nonmethane_Summer"
"Adventdalen",-0.0129494061245314,"Norway","active_nonmethane_All year"
"Anaktuvuk River (moderate burn)",-0.00119836008185443,"USA","active_nonmethane_Summer"
"Anaktuvuk River (severe burn)",-0.00101004028395165,"USA","active_nonmethane_Summer"
"Anaktuvuk River (unburned)",-0.00145852601019962,"USA","active_nonmethane_Summer"
"Bayelva, Spitsbergen",-0.0178715924949468,"Norway","active_nonmethane_All year"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0259664102279431,"USA","active_nonmethane_Summer"
"Bonanza Creek, 1999 Burn site near Delta Junction",-0.008414338671313,"USA","active_nonmethane_Summer"
"Cape Bounty",-0.0311155187258743,"Canada","active_nonmethane_Summer"
"Chersky, Pleistocene Park",-0.0201688355515608,"Russia","active_nonmethane_All year"
"Council, Alaska",-0.00320572725813963,"USA","active_nonmethane_Summer"
"Daring Lake",-0.0014505131967293,"Canada","active_nonmethane_Summer"
"Daring Lake (dwarf shrub)",-0.00644921330532755,"Canada","active_nonmethane_Summer"
"Daring Lake (low shrub)",-0.0126713165144919,"Canada","active_nonmethane_Summer"
"Disko",-0.0163901561998663,"Greenland","active_nonmethane_Summer"
"Finse",-0.00566182363823578,"Norway","active_nonmethane_Summer"
"Finse Mobile",-0.00566182363823578,"Norway","active_nonmethane_Summer"
"Flakaliden",-0.00175538764991981,"Sweden","active_nonmethane_All year"
"Groundhog River",-0.0154838047288358,"Canada","active_nonmethane_Summer"
"Hurdal",-0.00109742677872753,"Norway","active_nonmethane_Summer"
"Hyltemossa",-0.000849023616172217,"Sweden","active_nonmethane_Summer"
"Imnavait, Alaska heath tundra",-0.00285752149161162,"USA","active_nonmethane_All year"
"Imnavait, Alaska tussock tundra",-0.0010548223816616,"USA","active_nonmethane_All year"
"Kenttarova",-0.00480993756979173,"Finland","active_nonmethane_All year"
"Kilpisjaervi",-0.00190133062955781,"Finland","active_nonmethane_All year"
"Kinoje Lake",-0.00572231828693578,"Canada","active_nonmethane_All year"
"Knottasen",-0.000681402643242347,"Sweden","active_nonmethane_Summer"
"Kumpula",-0.000858804318053027,"Finland","active_nonmethane_Summer"
"La Biche River",-0.0173786804362582,"Canada","active_nonmethane_Summer"
"Lettosuo",-0.00111730187193101,"Finland","active_nonmethane_Summer"
"Mader",-0.003098339328823,"Finland","active_nonmethane_Summer"
"Montmorency Forest juvenile",-7.5972673951575e-05,"Canada","active_nonmethane_Summer"
"Montmorency Forest sapling",-0.00012703929204469,"Canada","active_nonmethane_Summer"
"Mukhrino",-0.00831783666594461,"Russia","active_nonmethane_Summer"
"NEON Barrow Environmental Observatory (BARR)",-0.000152532208645481,"USA","active_nonmethane_Summer"
"NEON Caribou Creek - Poker Flats Watershed (BONA)",-0.00294196428678769,"USA","active_nonmethane_Summer"
"NEON Delta Junction (DEJU)",-0.028146725697299,"USA","active_nonmethane_Summer"
"NEON Healy (HEAL)",-0.00458411533750141,"USA","active_nonmethane_Summer"
"NEON Toolik (TOOL)",-0.00191760221972478,"USA","active_nonmethane_Summer"
"Norunda",-0.00157541453106403,"Sweden","active_nonmethane_All year"
"Nuuk Fen",-0.0087465955337619,"Greenland","active_nonmethane_Summer"
"Poker Flat Research (fire scar succession)",-0.00398895557528528,"USA","active_nonmethane_All year"
"Poker Flat Research Range Black Spruce Forest",-0.00135548774975504,"USA","active_nonmethane_All year"
"Qvidja",-0.00108167283620232,"Finland","active_nonmethane_All year"
"Rosinedal-3",-0.002870228344513,"Sweden","active_nonmethane_Summer"
"Rosinedalsheden (control)",-0.00195109115736808,"Sweden","active_nonmethane_All year"
"Rosinedalsheden (fertilized)",-0.00280519920436323,"Sweden","active_nonmethane_All year"
"Sammaltunturi",-0.00218850397907623,"Finland","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",-0.00222301549455214,"Canada","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",-0.00159604857887317,"Canada","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",-0.00124725461108091,"Canada","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Mature Black Spruce",-0.0148610352153508,"Canada","active_nonmethane_Summer"
