"sitename","means","country","type"
"UCI-1930 burn site",-0.00692882422561968,"Canada","inactive__Summer"
"UCI-1981 burn site",-0.00662250058674684,"Canada","inactive__Summer"
"UCI-1989 burn site",-0.00889078531047026,"Canada","inactive__Summer"
"UCI-1998 burn site",-0.00876042024828727,"Canada","inactive__Summer"
"Uapishka Research Station",-0.00736718689838152,"Canada","NA__NA"
"Udachnyy",-0.00493928703765876,"Russia","NA__NA"
"Ust Kut",-0.0108461144582742,"Russia","NA__NA"
"Ust Kuyga",-0.0114094341437062,"Russia","NA__NA"
"Ust Nera",-0.00470251111430069,"Russia","NA__NA"
"Utikuma Region, Northern Study Area",-0.0049666814844073,"Canada","inactive__Summer"
"Utkholok",-0.00844108595133687,"Russia","NA__NA"
"Verkhoyansk",-0.00140107023580705,"Russia","NA__NA"
"Vitim",-0.0100288260151753,"Russia","NA__NA"
"Volkhov",-0.00371251739248922,"Russia","NA__NA"
"Wiseman",-0.00709656716885188,"United States","NA__NA"
"Yellowknife",-0.00567205221529855,"Canada","NA__NA"
"Zhilinda",-0.00603672357643071,"Russia","NA__NA"
"Zlatoust",-0.00479447672908679,"Russia","NA__NA"
