"sitename","means","country","type"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.00633687829460867,"Canada","inactive_nonmethane_Summer"
"Aldan",-0.00555205372319106,"Russia","inactive_NA_NA"
"Alert",-0.00652088363531366,"Canada","inactive_NA_NA"
"Ambarchik",-0.00892503469157932,"Russia","inactive_NA_NA"
"Arctic Bay",-0.00931293045027994,"Canada","inactive_NA_NA"
"Artemovsk",-0.011184545521585,"Russia","inactive_NA_NA"
"Athabasca, poor fen",-0.00633687829460867,"Canada","inactive_nonmethane_Summer"
"Bagdarin",-0.0069269378947412,"Russia","inactive_NA_NA"
"Bakal",-0.00753279603680304,"Russia","inactive_NA_NA"
"Baker Lake",-0.00968639783776174,"Canada","inactive_NA_NA"
"Bezhetsk",-0.00799473486859751,"Russia","inactive_NA_NA"
"Big Beaver House",-0.00981702559242406,"Canada","inactive_NA_NA"
"Bilibino",-0.00402391845181188,"Russia","inactive_NA_NA"
"Bodaybo",-0.0121172765562864,"Russia","inactive_NA_NA"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0065892398301395,"USA","inactive_nonmethane_Summer"
"Boyarka",-0.00296610777605422,"Russia","inactive_NA_NA"
"Cape Dorset",-0.00967733861330031,"Canada","inactive_NA_NA"
"Chegdomyn",-0.0161529179060569,"Russia","inactive_NA_NA"
"Cochrane",-0.0086087694414304,"Canada","inactive_NA_NA"
"DMI Geophysical Observatory Qaanaaq",-0.00581283959230476,"Greenland/Denmark","inactive_NA_NA"
"Dease Lake",-0.0090475902312279,"Canada","inactive_NA_NA"
"Dolinsk",-0.00688940634774674,"Russia","inactive_NA_NA"
"Eastern Old Black Spruce (EOBS)",-0.00660360980672716,"Canada","inactive_nonmethane_Summer"
"Egvekinot",-0.00597910858658009,"Russia","inactive_NA_NA"
"Ennadai",-0.0100636695773298,"Canada","inactive_NA_NA"
"Fort Good Hope",-0.00793845685039053,"Canada","inactive_NA_NA"
"Fort Nelson",-0.00764382216511496,"Canada","inactive_NA_NA"
"Govorovo",-0.00894034121229058,"Russia","inactive_NA_NA"
"Grise Fiord",-0.00890597632673942,"Canada","inactive_NA_NA"
"Gubakha",-0.0108956616010342,"Russia","inactive_NA_NA"
"Hearst",-0.0131144191501176,"Canada","inactive_NA_NA"
"Holman",-0.00997340985924557,"Canada","inactive_NA_NA"
"Igloolik Research Center ",-0.0112801310953659,"Nunavut/Canada","inactive_NA_NA"
"Island Lake",-0.00783501851592802,"Canada","inactive_NA_NA"
"Ivugivik",-0.00953227227592309,"Canada","inactive_NA_NA"
"Kavache",-0.00684725849434649,"Russia","inactive_NA_NA"
"Khakhar",-0.00617126659805278,"Russia","inactive_NA_NA"
"Khorgo",-0.00604708856660279,"Russia","inactive_NA_NA"
"Kimmirut",-0.00814248110082887,"Canada","inactive_NA_NA"
"Kirs",-0.0128744360650394,"Russia","inactive_NA_NA"
"Kizel",-0.00836435855518861,"Russia","inactive_NA_NA"
"Klyuchi",-0.00862273738476391,"Russia","inactive_NA_NA"
"Kogalym",-0.00641725568803816,"Russia","inactive_NA_NA"
