"sitename","means","country","type"
"Krasnoturinsk",-0.0171398939919891,"Russia","inactive_NA_NA"
"Kudymkar",-0.00576199741991817,"Russia","inactive_NA_NA"
"Maaninka",-0.00643057921343082,"Finland","inactive_nonmethane_Summer"
"Manitoba, Northern Old Black Spruce (BOREAS)",-0.00590039353252736,"Canada","inactive_nonmethane_All year"
"Megion",-0.00679824501684145,"Russia","inactive_NA_NA"
"Menkere",-0.00811586682444689,"Russia","inactive_NA_NA"
"Montana",-0.0112260412617944,"United States","inactive_NA_NA"
"Natara",-0.00716095849676473,"Russia","inactive_NA_NA"
"Naujaat",-0.0123081786936321,"Canada","inactive_NA_NA"
"Neryungri",-0.0108970765782756,"Russia","inactive_NA_NA"
"Nizhneyansk",-0.00683358570206635,"Russia","inactive_NA_NA"
"Nogliki",-0.0064621463392887,"Russia","inactive_NA_NA"
"Nord",-0.0106547114282528,"Denmark","inactive_NA_NA"
"Noyabrsk",-0.00694710283341423,"Russia","inactive_NA_NA"
"Nyukzha",-0.00689819570095543,"Russia","inactive_NA_NA"
"Olenek",-0.00388783447176941,"Russia","inactive_NA_NA"
"Omchak",-0.00377980860391815,"Russia","inactive_NA_NA"
"Omolon",-0.00681033290667436,"Russia","inactive_NA_NA"
"Omsukchan",-0.0116927136205502,"Russia","inactive_NA_NA"
"Oymyakon",-0.0048833916208273,"Russia","inactive_NA_NA"
"Paulatuk",-0.00708062777122033,"Canada","inactive_NA_NA"
"Poronaysk",-0.0100080263467036,"Russia","inactive_NA_NA"
"Put Lenina",-0.00447146052636543,"Russia","inactive_NA_NA"
"Rankin Inlet",-0.00606708572914181,"Canada","inactive_NA_NA"
"Red Devil",-0.00616270215939477,"United States","inactive_NA_NA"
"Sangar",-0.00256849272140761,"Russia","inactive_NA_NA"
"Saskylakh",-0.00403315708455466,"Russia","inactive_NA_NA"
"Savissivik",-0.00926527834951944,"Denmark","inactive_NA_NA"
"Sioux Lookout",-0.00991340408201683,"Canada","inactive_NA_NA"
"Slyudyanka",-0.00995302229051927,"Russia","inactive_NA_NA"
"Southern Khentei Taiga",-0.00885238338400413,"Mongolia","inactive_nonmethane_All year"
"Srednekolymsk",-0.00345208565586562,"Russia","inactive_NA_NA"
"Susuman",-0.0050633397124495,"Russia","inactive_NA_NA"
"Svetogorsk",-0.00650701729113414,"Russia","inactive_NA_NA"
"Tasiusaq",-0.00780826654553706,"Denmark","inactive_NA_NA"
"Tobolsk",-0.00877495300605199,"Russia","inactive_NA_NA"
"Tunguskhaya",-0.00519858186243708,"Russia","inactive_NA_NA"
"Tynda",-0.0179485761447822,"Russia","inactive_NA_NA"
"UCI-1850 burn site",-0.00746061017919507,"Canada","inactive_nonmethane_Summer"
"UCI-1930 burn site",-0.00841993138587169,"Canada","inactive_nonmethane_Summer"
"UCI-1981 burn site",-0.00811490891619084,"Canada","inactive_nonmethane_Summer"
"UCI-1989 burn site",-0.0105338659319872,"Canada","inactive_nonmethane_Summer"
"UCI-1998 burn site",-0.0107774037879744,"Canada","inactive_nonmethane_Summer"
"Uapishka Research Station",-0.00752817711620576,"Canada","inactive_NA_NA"
"Udachnyy",-0.00503979770909334,"Russia","inactive_NA_NA"
"Ust Kut",-0.0129126738452778,"Russia","inactive_NA_NA"
"Ust Kuyga",-0.0113565645197347,"Russia","inactive_NA_NA"
"Ust Nera",-0.00462672470231257,"Russia","inactive_NA_NA"
"Utikuma Region, Northern Study Area",-0.00945532135796328,"Canada","inactive_nonmethane_Summer"
"Utkholok",-0.00994142406636288,"Russia","inactive_NA_NA"
"Verkhoyansk",-0.00140537220872909,"Russia","inactive_NA_NA"
"Vitim",-0.0120324967867064,"Russia","inactive_NA_NA"
"Wiseman",-0.00766659130466978,"United States","inactive_NA_NA"
"Yellowknife",-0.00571590947211724,"Canada","inactive_NA_NA"
"Zhilinda",-0.00606169906110653,"Russia","inactive_NA_NA"
"Zlatoust",-0.00643807170804892,"Russia","inactive_NA_NA"
