"NAME","SOV0NAME","ADM1NAME","LATITUDE","LONGITUDE","POP_MAX"
"Tanacross","United States","Alaska",63.385703,-143.346403,136
"Wiseman","United States","Alaska",67.410471,-150.107489,14
"Sauðárkrókur","Iceland","Akrahreppur",65.746412,-19.638993,2682
"Ålesund","Kingdom of Norway","MOre og Romsdal",62.545419,6.388023,47772
"Steinkjer","Kingdom of Norway","Nord-Trøndelag",64.01706,11.500011,11274
"Asino","Russia","Tomsk",56.993122,86.162689,27070
"Strezhevoy","Russia","Tomsk",60.733152,77.577683,44784
"Mukhomornoye","Russia","Chukchi Autonomous Okrug",66.417069,173.333337,100
"Beringovskiy","Russia","Chukchi Autonomous Okrug",63.065465,179.306667,1861
"Bilibino","Russia","Chukchi Autonomous Okrug",68.050406,166.333299,5757
"Egvekinot","Russia","Chukchi Autonomous Okrug",66.322132,-179.183723,2248
"Nikel","Russia","Murmansk",69.412571,30.218817,15866
"Monchegorsk","Russia","Murmansk",67.929121,32.828735,49868
"Kirovsk","Russia","Murmansk",67.609089,33.668735,29605
"Volkhov","Russia","Leningrad",59.929093,32.338739,45673
"Tikhvin","Russia","Leningrad",59.644846,33.514378,62075
"Svetogorsk","Russia","Leningrad",61.101321,28.917656,30115
"Luga","Russia","Leningrad",58.736349,29.838995,40114
"Segezha","Russia","Karelia",63.754776,34.324303,33354
"Vichuga","Russia","Ivanovo",57.219129,41.928748,39071
"Sharya","Russia","Kostroma",58.379756,45.509356,35532
"Buy","Russia","Kostroma",58.484685,41.52438,26486
"Bezhetsk","Russia","Tver'",57.764729,36.689998,34736
"Sokol","Russia","Vologda",59.46478,40.114388,42174
"Cherepovets","Russia","Vologda",59.140433,37.909975,311850
"Rybinsk","Russia","Yaroslavl'",58.050344,38.819997,216724
"Rostov","Russia","Yaroslavl'",57.189157,39.404303,33803
"Miass","Russia","Chelyabinsk",54.995414,60.094926,167500
"Kyshtym","Russia","Chelyabinsk",55.699997,60.559549,50911
"Varnek","Russia","Nenets",69.730148,60.063558,10
"Bugrino","Russia","Nenets",68.807879,49.304163,300
"Yamburg","Russia","Yamal-Nenets",67.922117,74.925313,48488
"Sosnogorsk","Russia","Komi",63.59476,53.894323,29343
"Sovetsk","Russia","Kirov",57.578461,48.958086,17869
"Slobodskoy","Russia","Kirov",58.718495,50.188037,48962
"Kirs","Russia","Kirov",59.313833,52.245173,11385
"Omutninsk","Russia","Kirov",58.658938,52.159183,32800
"Kotelnich","Russia","Kirov",58.304127,48.313733,28431
"Yoshkar Ola","Russia","Mariy-El",56.635392,47.874948,324406
"Kamensk Uralskiy","Russia","Sverdlovsk",56.42047,61.93502,182500
"Polevskoy","Russia","Sverdlovsk",56.443414,60.188047,65770
"Artemovskiy","Russia","Sverdlovsk",57.365192,61.869753,44689
"Nevyansk","Russia","Sverdlovsk",57.490249,60.214764,28170
"Verkhnyaya Salda","Russia","Sverdlovsk",58.050189,60.549782,48992
"Nizhnyaya Tura","Russia","Sverdlovsk",58.643641,59.798252,56084
"Karpinsk","Russia","Sverdlovsk",59.760162,60.009815,30807
"Ivdel","Russia","Sverdlovsk",60.693645,60.413253,19379
"Glazov","Russia","Udmurt",58.123208,52.628767,100676
"Peregrebnoye","Russia","Khanty-Mansiy",62.966995,65.085939,10
"Saranpaul","Russia","Khanty-Mansiy",64.250457,60.970015,2985
"Uray","Russia","Khanty-Mansiy",60.140139,64.754797,39878
"Laryak","Russia","Khanty-Mansiy",61.101192,80.25137,10
"Kogalym","Russia","Khanty-Mansiy",62.044622,74.494099,58192
"Megion","Russia","Khanty-Mansiy",61.060755,76.095345,48691
"Yessey","Russia","Evenk",68.483738,102.166622,10
"Ulkan","Russia","Irkutsk",55.900398,107.783333,10
"Kirensk","Russia","Irkutsk",57.785735,108.111943,13308
"Zheleznogorsk Ilimskiy","Russia","Irkutsk",56.576248,104.122678,28456
"Vikhorevka","Russia","Irkutsk",56.093099,101.242699,166
"Biryusinsk","Russia","Irkutsk",55.960653,97.814432,9583
"Kodinskiy","Russia","Krasnoyarsk",58.698057,99.177657,15670
"Artemovsk","Russia","Krasnoyarsk",54.348736,93.435527,4948
"Agapa","Russia","Taymyr",71.450379,89.249994,10
"Boyarka","Russia","Taymyr",70.766984,97.500033,35968
"Nordvik","Russia","Taymyr",74.016502,111.510031,0
