"","site","means","Latitude","Longitude","country","State","Population","rank"
"156","Tver",-0.0033434757022668,56.4333,32.65,"Russia",NA,NA,156
"157","ARM-AMF3-Oliktok",-0.00334173376696971,70.4953,-149.8823,"United States",NA,NA,157
"158","Manily",-0.00333747047263037,62.549992,165.300029,"Russia","Kamchatka",10,158
"159","Severomorsk",-0.00328767703347278,69.073057,33.423066,"Russia","Murmansk",53921,159
"160","Nefteyugansk",-0.00327396472549791,61.077653,72.702684,"Russia","Khanty-Mansiy",112632,160
"161","Talkeetna",-0.00324383999033541,62.323779,-150.109427,"United States","Alaska",1078,161
"162","ZOTTO bog (old)",-0.00322680846615024,60.758,89.402,"Russia",NA,NA,162
"163","Karamken",-0.00320622261711293,60.20042,151.166628,"Russia","Maga Buryatdan",10,163
"164","Lutose Rich Fen",-0.00319184044473762,59.26100915,-117.420947,"Canada",NA,NA,164
"165","Eastmain",-0.00318127141140197,52.233335,-78.516691,"Canada","Québec",335,165
"166","Yamburg",-0.00317245960628685,67.922117,74.925313,"Russia","Yamal-Nenets",48488,166
"167","Doline",-0.00316538708468986,65.183346,-123.416664,"Canada","Northwest Territories",525,167
"168","Shamattawa",-0.00314003166289236,55.850375,-92.083279,"Canada","Manitoba",870,168
"169","Kineshma",-0.00310996592878094,57.469966,42.129976,"Russia","Ivanovo",92983,169
"170","Wales",-0.00310892318816659,65.609599,-168.087503,"United States","Alaska",99,170
"171","Unalakleet",-0.00309443649426557,63.873426,-160.788052,"United States","Alaska",741,171
"172","Bukachacha",-0.00306978831902616,52.983341,116.916626,"Russia","Chita",3372,172
"173","Gulkana",-0.00301205576986761,62.271353,-145.382196,"United States","Alaska",119,173
"174","Palatka",-0.00300072058809115,60.100012,150.899978,"Russia","Maga Buryatdan",21452,174
"175","Nizhnyaya Tura",-0.00297837354459732,58.643641,59.798252,"Russia","Sverdlovsk",56084,175
"176","Narsarsuaq",-0.00293951320860789,61.166588,-45.416618,"Greenland","Kommune Kujalleq",145,176
"177","Ayan",-0.00293661630246753,56.454241,138.167331,"Russia","Khabarovsk",1286,177
"178","Uranium City",-0.00293413845957764,59.566557,-108.616585,"Canada","Saskatchewan",89,178
"179","CEN Boniface River Field Station ",-0.00293224823344529,57.75,-76.166667,"Canada",NA,NA,179
"180","Zhigansk",-0.00293089163539726,66.769709,123.371115,"Russia","Sakha (Yakutia)",3237,180
"181","Buy",-0.00287853599463942,58.484685,41.52438,"Russia","Kostroma",26486,181
"182","Varnek",-0.00284258496263911,69.730148,60.063558,"Russia","Nenets",10,182
"183","Tanacross",-0.002807804880205,63.385703,-143.346403,"United States","Alaska",136,183
"184","Nain",-0.00280669734806454,56.547352,-61.686045,"Canada","Newfoundland and Labrador",1151,184
"185","Kulusuk",-0.00279844172801688,65.566578,-37.183322,"Greenland","Kommuneqarfik Sermersooq",286,185
"186","Shuya",-0.002787846289038,56.854345,41.364286,"Russia","Ivanovo",60705,186
"187","Khatanga",-0.0027717502103561,72.041144,102.465001,"Russia","Taymyr",3205,187
"188","Dolbeau",-0.00277099670376527,48.86659,-72.233328,"Canada","Québec",13337,188
"189","Saskatchewan - Western Boreal, forest burned in 1998",-0.00276708051221334,54.0916,-106.0053,"Canada",NA,NA,189
"190","Suntar",-0.00272930457572569,62.14441,117.631931,"Russia","Sakha (Yakutia)",8639,190
"191","Kuujjuarapik",-0.00272320862625069,55.281495,-77.765832,"Canada","Québec",1243,191
"192","Yerema",-0.0027071526454086,60.380796,107.779406,"Russia","Irkutsk",745,192
"193","Ittoqqortoormiit",-0.00269804549698344,70.483358,-21.966654,"Greenland","Kommuneqarfik Sermersooq",469,193
"194","Stony Rapids",-0.00269358313597527,59.266575,-105.833266,"Canada","Saskatchewan",152,194
"195","Provideniya",-0.00265730083370859,64.423495,-173.225794,"Russia","Chukchi Autonomous Okrug",2536,195
"196","Vichuga",-0.0026533996599996,57.219129,41.928748,"Russia","Ivanovo",39071,196
"197","Palana",-0.0026333239985821,59.084002,159.95002,"Russia","Kamchatka",3671,197
"198","Chumikan",-0.0025964054290464,54.711395,135.314514,"Russia","Khabarovsk",1305,198
"199","Geraldton",-0.00259434133211076,49.716641,-86.96664,"Canada","Ontario",1290,199
"200","Kivalina",-0.00256086981121327,67.731492,-164.485903,"United States","Alaska",374,200
"201","Amderma",-0.00253037590573468,69.763014,61.667698,"Russia","Nenets",282,201
"202","Seida",-0.00251920574163758,67.0547,62.9405,"Russia",NA,NA,202
"203","Argentia",-0.00251101643411413,47.300432,-53.989997,"Canada","Newfoundland and Labrador",1063,203
"204","Kullorsuaq",-0.00250602946109773,74.578063,-57.224986,"Greenland",NA,450,204
"205","Nizhenvartovsk",-0.00248591128290071,60.934974,76.580018,"Russia","Khanty-Mansiy",244937,205
"206","Togiak",-0.0024555260302925,59.070361,-160.378323,"United States","Alaska",236,206
"207","Uteshevo",-0.0024299274583558,57.1549,65.343,"Russia",NA,NA,207
"208","Zotino forest West (old)",-0.00242835088241032,60.75,89.3833,"Russia",NA,NA,208
"209","Saranpaul",-0.00240489258782748,64.250457,60.970015,"Russia","Khanty-Mansiy",2985,209
"210","Steinkjer",-0.00238166514840075,64.01706,11.500011,"Norway","Nord-Trøndelag",11274,210
"211","Naryan Mar",-0.00237200562323571,67.647407,53.057423,"Russia","Nenets",21658,211
"212","Verkhniy Ufaley",-0.00236352979220901,56.066279,60.2313,"Russia","Chelyabinsk",33879,212
"213","Olyokminsk",-0.00236103184755141,60.503192,120.392589,"Russia","Sakha (Yakutia)",10000,213
"214","Monchegorsk",-0.00233911785860865,67.929121,32.828735,"Russia","Murmansk",49868,214
"215","Peregrebnoye",-0.00232475641024538,62.966995,65.085939,"Russia","Khanty-Mansiy",10,215
"216","Lac Le Caron",-0.00230782082485396,52.2903,-75.8375,"Canada",NA,NA,216
"217","Arctic DTU Research Station Sisimiut",-0.00227272217302777,66.916667,-53.666667,"Greenland",NA,NA,217
"218","Port Burwell",-0.00224256570546376,60.266462,-64.741098,"Canada","Newfoundland and Labrador",2762,218
"219","Sisimiut",-0.00223861236197014,66.950008,-53.666606,"Greenland","Qeqqata Kommunia",5227,219
"220","Oxford House",-0.00223565555376396,54.950404,-95.266599,"Canada","Manitoba",184,220
"221","Okhotsk",-0.00222880652461036,59.383002,143.217036,"Russia","Khabarovsk",5570,221
"222","Enurmino",-0.00222694015901614,66.950008,-171.816603,"Russia","Chukchi Autonomous Okrug",297,222
"223","Burwash Landing",-0.00222657511159106,61.350375,-139.000002,"Canada","Yukon",73,223
"224","Kolpino",-0.00221648875696647,59.730009,30.650005,"Russia","City of St. Petersburg",225801,224
"225","Zheleznogorsk Ilimskiy",-0.00220359356003863,56.576248,104.122678,"Russia","Irkutsk",28456,225
"226","Eldikan",-0.00219602767985039,60.800021,135.183314,"Russia","Sakha (Yakutia)",1516,226
"227","Dasan Station site",-0.00218963864176906,78.9219,11.8658,"Norway",NA,NA,227
"228","Pechora",-0.00218615022525854,65.158748,57.208746,"Russia","Komi",46113,228
"229","Fort Severn",-0.00217970450997402,55.983339,-87.649984,"Canada","Ontario",125,229
"230","Kotelnich",-0.00215728544006314,58.304127,48.313733,"Russia","Kirov",28431,230
"231","Circle",-0.00215475459479795,65.82589,-144.06052,"United States","Alaska",100,231
"232","Elgeeii",-0.00215170444221482,60.016,133.824,"Russia",NA,NA,232
"233","Evensk",-0.00213413335256888,61.949977,159.233319,"Russia","Maga Buryatdan",2024,233
"234","Kotlas",-0.0021290105807346,61.263068,46.663084,"Russia","Arkhangel'sk",59879,234
"235","Polevskoy",-0.00212029765002379,56.443414,60.188047,"Russia","Sverdlovsk",65770,235
"236","Krasnouralsk",-0.00211019879228435,58.351515,60.051518,"Russia","Sverdlovsk",20571,236
"237","Rif Field Station",-0.00210234494271608,66.45,-15.95,"Iceland",NA,NA,237
"238","Schefferville",-0.00208456559910183,54.8,-66.816656,"Canada","Québec",471,238
"239","Saskatchewan - Western Boreal, forest burned in 1989",-0.0020756707518991,54.2539,-105.8775,"Canada",NA,NA,239
"240","Miass",-0.00206740600031672,54.995414,60.094926,"Russia","Chelyabinsk",167500,240
"241","Keflavík",-0.00204536823552587,64.016647,-22.566592,"Iceland","Suðurnes",7930,241
"242","Lutselke",-0.00203835384301053,62.400053,-110.733329,"Canada","Northwest Territories",102,242
"243","Pakhachi",-0.00203661526165087,60.581585,169.049981,"Russia","Kamchatka",10,243
"244","Rusanovo",-0.00202439226761178,70.598074,56.372291,"Russia","Arkhangel'sk",10,244
"245","Yakutsk-Larch",-0.00200707202540137,62.255,129.6189,"Russia",NA,NA,245
"246","Hay River",-0.00200224349474713,60.849993,-115.700003,"Canada","Northwest Territories",3900,246
"247","Wawa",-0.00199479421057696,48.000415,-84.783337,"Canada","Ontario",2174,247
"248","Mo i Rana",-0.00198452835165722,66.31661,14.16667,"Norway","Nordland",20409,248
"249","King Salmon",-0.0019790689367236,58.688703,-156.661378,"United States","Alaska",292,249
"250","Uray",-0.00196690156254851,60.140139,64.754797,"Russia","Khanty-Mansiy",39878,250
"251","Salekhard",-0.00196482659220246,66.53502,66.60998,"Russia","Yamal-Nenets",38025,251
"252","Shalaurova",-0.00192494274035577,73.220374,143.183343,"Russia","Sakha (Yakutia)",10,252
"253","Usinsk",-0.00190911984780798,65.923042,57.402997,"Russia","Komi",45000,253
"254","Mezen",-0.00190346345393647,65.85222,44.240028,"Russia","Arkhangel'sk",3672,254
"255","Andoya",-0.00187330600858047,69.1428,16.0222,"Norway",NA,NA,255
"256","Kirovsk",-0.00187266374946521,67.609089,33.668735,"Russia","Murmansk",29605,256
"257","Fort McPherson",-0.00186544932835371,67.491525,-134.894981,"Canada","Northwest Territories",1069,257
"258","The Pas",-0.00185715682851169,53.816623,-101.233315,"Canada","Manitoba",6055,258
"259","The Arctic Research Station (former Labytnangi Ecological Research Station)",-0.0018490503278466,66.65,66.4,"Russia",NA,NA,259
"260","Nizhny Tagil",-0.00184705510905357,57.920016,59.974985,"Russia","Sverdlovsk",381116,260
"261","Labrador City",-0.00184621611857143,52.941431,-66.915875,"Canada","Newfoundland and Labrador",10313,261
"262","Fort Resolution",-0.00183173371757714,61.166588,-113.682994,"Canada","Northwest Territories",448,262
"263","Qasigiannguit",-0.00182681012662871,68.81927,-51.178519,"Greenland","Qaasuitsup Kommunia",1341,263
"264","Dawson Creek",-0.00181374096888095,55.766969,-120.233266,"Canada","British Columbia",10802,264
"265","Lake Minchumina",-0.00181273544699061,63.882831,-152.312187,"United States","Alaska",32,265
"266","Archangel",-0.00180741125648448,64.574959,40.545008,"Russia","Arkhangel'sk",356051,266
"267","Sagastyr",-0.001797010826095,73.377933,126.592352,"Russia","Sakha (Yakutia)",10,267
"268","Kaskara Crop",-0.00179204034416977,57.2515,65.9693,"Russia",NA,NA,268
"269","Namsos",-0.00178613162053907,64.483311,11.500011,"Norway","Nord-Trøndelag",9035,269
"270","Kobbefjord",-0.00176988447617007,64.1382,-51.3784,"Greenland",NA,NA,270
"271","Gunnarsholt",-0.00176211605236736,63.8333,-20.2167,"Iceland",NA,NA,271
"272","Plotnikovo",-0.00175656457166098,56.85,82.9667,"Russia",NA,NA,272
"273","Biryusinsk",-0.00173215028244929,55.960653,97.814432,"Russia","Irkutsk",9583,273
"274","Cold Bay",-0.00173081797690515,55.200001,-162.715092,"United States","Alaska",200,274
"275","Logashkino",-0.00172730902780463,70.85039,153.900001,"Russia","Sakha (Yakutia)",0,275
"276","Sand Point",-0.00172658626625153,55.339709,-160.497191,"United States","Alaska",667,276
"277","Vadsø",-0.00172062046045176,70.096597,29.765749,"Norway","Finnmark",5139,277
"278","Tukchi",-0.00171936086532516,57.366975,139.500002,"Russia","Khabarovsk",10,278
"279","Indiga",-0.00171373538023258,67.689754,49.016595,"Russia","Nenets",10,279
"280","Laryak",-0.0017068004401914,61.101192,80.25137,"Russia","Khanty-Mansiy",10,280
"281","Tazovsky",-0.0016956148411109,67.466669,78.699992,"Russia","Yamal-Nenets",5981,281
"282","Beringovskiy",-0.00168271766326372,63.065465,179.306667,"Russia","Chukchi Autonomous Okrug",1861,282
"283","Nikolski",-0.00167339146669877,52.938434,-168.867688,"United States","Alaska",18,283
"284","Willem Barentsz Biological Station",-0.00167280663182046,73.35,80.533333,"Russia",NA,NA,284
"285","Norman Wells",-0.00167008389841636,65.283727,-126.849968,"Canada","Northwest Territories",1027,285
"286","Trondheim",-0.00165795096025556,63.416658,10.416666,"Norway","Sør-Trøndelag",147139,286
"287","Vallanes",-0.00165773913863637,65.32,-14.933,"Iceland",NA,NA,287
"288","Karluk",-0.00165457569943399,57.572286,-154.455027,"United States","Alaska",96,288
"289","Ugolnye Kopi",-0.00165442800195995,64.733296,177.699996,"Russia","Chukchi Autonomous Okrug",3367,289
