"newkm","x_fn1","y_fn1","PC1_fn1","PC2_fn1","PC3_fn1","PC4_fn1","MeanTemp_fn1","Precip_fn1","PrecipitationSeasonality_fn1","MeanDiurnalRange_fn1","Isothermality_fn1","TempSeasonality_fn1","TempAnnualRange_fn1","mir_fn1","ndwi_fn1","ndvi_sum_fn1","ndvi_max_fn1","evi_fn1","bd_100_agg_fn1","ph0_100_fn1","OCSTHA_M_100cm_1km_ll_fn1","soc0_100_fn1","sand_100_agg_fn1","silt_100_agg_fn1","clay_100_agg_fn1","UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_fn1","base.dist_fn1","methane.dist_fn1","annual.dist_fn1","annual.methane.dist_fn1","base_fn1","methane_fn1","annual_fn1","annualmethane_fn1","x_fn2","y_fn2","PC1_fn2","PC2_fn2","PC3_fn2","PC4_fn2","MeanTemp_fn2","Precip_fn2","PrecipitationSeasonality_fn2","MeanDiurnalRange_fn2","Isothermality_fn2","TempSeasonality_fn2","TempAnnualRange_fn2","mir_fn2","ndwi_fn2","ndvi_sum_fn2","ndvi_max_fn2","evi_fn2","bd_100_agg_fn2","ph0_100_fn2","OCSTHA_M_100cm_1km_ll_fn2","soc0_100_fn2","sand_100_agg_fn2","silt_100_agg_fn2","clay_100_agg_fn2","UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_fn2","base.dist_fn2","methane.dist_fn2","annual.dist_fn2","annual.methane.dist_fn2","base_fn2","methane_fn2","annual_fn2","annualmethane_fn2"
"1",-1665204.10791533,55526.8927572257,5.96634146940271,-1.85308085383492,-1.85379018952531,1.93168964040611,-16.2326200615771,168.966759000716,66.6609332675543,6.21160442952542,14.5905238504389,1425.14430069493,43.9464002348303,0.195226139837012,-0.0349455500476787,0.335181090558136,0.189460486415513,0.0933970183370783,1.17974030411605,6.8161548101404,415.265843813687,276.662120273685,43.6744799170027,35.4997487577484,21.1991068263427,0.999993032094323,1.76195755689957,2.33374725800509,3.34268712612046,3.35809160812771,1.76195755689957,2.33374725800509,3.34268712612046,3.35809160812771,493223.810101223,444640.723546264,0.571524881552851,0.55621615290273,0.663044128583351,0.851542020607852,1.85073876348221,55.9202785846642,7.6617572002488,0.480618238831338,2.55147873178434,84.5250139179554,2.63341326140416,0.0487468522678523,0.129106701914565,0.249808554801075,0.0648487155100771,0.0347140819163347,0.0971455499004391,0.167816629974725,134.68109693456,73.5882847253387,5.94941228124779,3.15476638330676,3.51599866935069,0.000174545800172294,0.586397830317803,0.548007245826497,0.701186338815301,0.709614887507748,0,0,0,0
"2",-1512349.85368677,366712.249734753,4.72482658219352,-1.57515953821562,-1.42043485870898,0.564052404150059,-15.0707703033253,198.938431923155,65.9320816896687,6.92354400435132,15.3617046686097,1484.6754790407,46.5413465239943,0.136186426341865,0.0400250715974289,0.77991884452276,0.306033622313464,0.139572716938461,1.14723525448533,6.58157626811687,444.773327308201,318.651939053358,49.5954350460665,33.0999563055514,17.6661075352096,0.997489512453865,1.50901044478805,1.94791203218632,2.20318322775859,2.21516826047193,1.50901044478805,1.94791203218632,2.20318322775859,2.21516826047193,1134072.32715696,755863.884932232,0.735997935645092,0.49848303007633,0.538453592083125,0.673584053923482,2.91148914827016,86.1734216350652,10.8655169556884,1.18377822438782,3.27632272945025,124.689138967387,3.97649070010923,0.0234086026614463,0.124631509047133,0.427044439025761,0.0999639492863766,0.0548951091458758,0.0715430994187281,0.329967851807174,117.839048599118,72.100218200988,3.72492224017008,2.33170660804008,2.87721060915429,0.0235042718466719,0.39661354766291,0.3905613874045,0.536592028874561,0.554233181015929,0,0,0,0
"3",-1087435.32377224,-476397.546451966,5.00733971093153,-3.33268884346431,-0.758502618733076,1.13741124644024,-14.56353041781,258.202276337834,49.2816383869871,5.85735504946227,16.4570257389785,1220.04634868774,38.0739005595933,0.140456608444966,0.09480782841052,0.196568092379246,0.151644141492722,0.0618153225796322,1.07712189334889,6.5860314534,550.34470257983,426.463963903359,50.8974376815988,32.8106445465185,16.6768859737396,0.998042138624891,2.28759876994057,2.9190806294448,2.7689705331746,3.21203239058476,2.28759876994057,2.9190806294448,2.7689705331746,3.21203239058476,1198924.13376111,731289.418047701,0.812009446439872,0.607008910876956,0.637631978290694,0.777005808416825,3.7313348479173,132.35617990843,15.7368500995107,0.853994839400122,5.41397806095181,129.754878990775,4.19501848585194,0.0439536712633831,0.229803252088397,0.373024360618712,0.109814400923491,0.053148484884725,0.10045435846825,0.269007934249781,136.462037775139,120.959992509067,4.60947563939843,2.96297419531519,3.57726812949893,0.0170583214034018,0.4627897421805,0.543086849209709,0.629584976815174,0.664254363000333,0,0,0,0
"4",1846187.38219932,1768026.21839082,2.22007777480545,1.35845371076268,-0.621471586596917,-2.02538425162112,-13.7298947841708,297.216938768368,70.9679400135677,11.1337559050639,17.9160359125393,1971.33862195197,62.1429471392044,0.0879930212806094,0.24024516034739,2.64268606432007,0.650983477474249,0.353025087325016,1.19059602262473,5.75903849522317,483.073839288071,334.137117510046,50.6560371638091,36.7793957123319,12.9293454723157,0.999237785621252,2.05823665005193,2.6513374602205,2.69286724009137,2.69375252353848,2.05823665005193,2.6513374602205,2.69286724009137,2.69375252353848,396976.816318683,643309.689290731,0.611876424151053,0.582776255094676,0.492232772970521,0.489059877461853,1.51848287652287,57.4827962920876,12.6837587530814,1.16108807322717,1.66113902280287,127.80997155878,3.14488127876909,0.0149100720124505,0.0660954592609744,0.407829553555034,0.0677680425652827,0.0380214242917312,0.0531420266072332,0.200754666237553,103.478575573388,59.2105910482125,3.33823417628031,2.71731066732026,2.49147260255888,0.0106789281632004,0.471972103448084,0.467994127153303,0.475773747582729,0.475674979421795,0,0,0,0
"5",-1526969.92676207,325492.413269757,4.40021407335523,-1.38861693212474,0.32657428805239,0.89744990782057,-13.2012576154825,203.74305768768,57.8260825289235,6.64886933214564,15.0876119947614,1442.00737267558,45.2373693060319,0.122690934099323,0.106947243776947,1.04207367046958,0.367555373806788,0.172232689344998,1.03829925087817,6.64506015528407,708.486423586641,476.763137216153,45.433108121921,34.7475869999855,20.1734315182815,0.996997405260554,1.4248627455339,1.58757197324667,1.59733266527076,1.61641573890564,1.4248627455339,1.58757197324667,1.59733266527076,1.61641573890564,1486211.13174046,722102.216127055,0.699744524890376,0.668473297037807,0.690882393878413,0.556089506639572,2.14799933175165,78.5719975482598,11.6066939417252,0.754935544561521,2.70148509770993,124.171963936426,4.21026906717261,0.0266878010964591,0.118182961792285,0.375595846886549,0.0890548399476723,0.0559206313441549,0.103216977522136,0.295822668076793,199.078382084921,123.601452886558,3.58264543282253,2.25912932689379,2.89483834359347,0.0270785254620696,0.337951681557697,0.361881408730811,0.358920782281114,0.387793986047924,0,0,0,0
"6",8121.40813253862,1060056.67832004,2.91088335437317,-0.474625537150651,-0.784819886857598,-0.873243517522404,-12.8819480509055,277.897769675097,59.3181627697724,8.71635636881816,16.3913130442658,1658.11294636787,53.0246636600352,0.111401822828911,0.159593044528984,1.89139380047743,0.528953299324565,0.272338719655157,1.17353623993194,6.03306785146218,499.068036164905,326.129897781029,51.8649287235006,33.8137572892475,14.6654155150002,0.99600181660358,1.55251114594959,1.63741196589637,1.68378559177464,1.68441406531421,1.55251114594959,1.63741196589637,1.68378559177464,1.68441406531421,2167437.45642421,688504.151213771,0.583351535622032,0.484465036351669,0.505179154981892,0.544906735751346,2.04388571201203,86.3673996815449,11.9096405766961,1.45170721174438,2.11513454291662,111.451414572931,3.37443701415733,0.0180852958770051,0.0882528814292105,0.40571473953126,0.0696492466031764,0.0569302540672336,0.0591307283922802,0.282898040780509,137.547609136107,64.1656665763518,2.66039074702737,2.17317576859168,2.21468184178021,0.0231441838587981,0.387044932352563,0.4259145556063,0.456528882080615,0.457378738845911,0,0,0,0
"7",249499.004565738,1092972.39690688,2.75003258531714,-0.540807754832968,0.933941814148399,0.108839690123163,-12.6750119727992,243.106536141144,49.7982239481268,7.37467782477053,15.7338041514209,1512.21516429998,47.2469025471105,0.0963294408010121,0.254551730483416,1.98751095117486,0.561232041256789,0.304093683100979,1.02755111800799,6.25972805988907,675.110086875139,428.85847734069,45.447206096149,36.540312552258,18.3720116500274,0.990900442955745,1.15516788802337,1.16759328007726,1.22560475880578,1.22877641994476,1.15516788802337,1.16759328007726,1.22560475880578,1.22877641994476,1710857.07825754,887233.989502204,0.51815784976567,0.658292102407459,0.654037745317178,0.613858278172206,2.17496547624858,79.612606762933,13.655396983532,0.98025367848943,2.06551241849092,127.64485717763,4.08302627965677,0.0183240770366337,0.0880391478944183,0.416854197984924,0.0781518683448943,0.0660304890105229,0.111775478673375,0.270879318532665,209.169384385595,72.350735222065,3.77058866541499,3.16814405227856,2.63650370558472,0.0429057313873699,0.261035926451657,0.271748762355683,0.309486126149707,0.314151144280837,0,0,0,0
"8",1845142.42423367,1543020.72355411,2.09189551262265,2.19034452972231,0.0236506967583518,-0.738237741030767,-12.2446925557624,269.441285247938,59.8154479806868,10.6700232838509,17.1537140100069,1960.5415190399,62.1525172563122,0.0753023280288722,0.184109927064324,2.99268514221696,0.711942760517366,0.363886349894555,1.23161272743975,5.86512182453717,533.402584545124,320.353525166124,40.2436950348298,43.0207806529754,17.0923946628012,0.99860772746497,1.33801830827902,1.91338483875327,1.93309756940098,1.93310764797848,1.33801830827902,1.91338483875327,1.93309756940098,1.93310764797848,650359.984623021,657934.213981042,0.454058500966286,0.580517829175537,0.463185160925927,0.485898125090481,1.41868606918917,48.8154084600539,6.49136777597007,1.21576960821428,1.52799321263266,120.51551269692,3.72616034448848,0.0108098457988583,0.0589083635217916,0.298841040801912,0.046564379336815,0.0370451177374561,0.0643372856814234,0.210146775420454,146.729223729081,49.9597888346182,3.05313524339937,2.9308988912254,3.09340767627334,0.0128964803377133,0.223692774774308,0.378462913679302,0.369346042200107,0.369339816232872,0,0,0,0
"9",1472683.37049507,-183631.194473515,2.50871825766108,-0.831248871931721,3.56020518908982,0.831391652027063,-10.2536249670296,319.717231314907,35.549847537647,6.99470088110209,15.9166057367923,1365.82572372222,44.1859555697096,0.0937141681235541,0.300225634208619,2.21073278718338,0.592521191696053,0.340079536768959,0.708501299666103,6.32059132630182,1078.11795188991,609.74384875753,39.6041704181153,39.440431783671,21.3171196188725,0.944212619644169,1.54426565985172,1.56052887144677,1.70200399975449,1.70265987039809,1.54426565985172,1.56052887144677,1.70200399975449,1.70265987039809,1379132.68003855,921149.556039802,0.605498731357661,0.503076144954041,0.792987430818714,0.57623939171921,1.52188639514112,66.0199323157912,10.2673788051663,0.599312140697769,1.50137671632182,110.763956407044,3.69000353700044,0.0145465540408731,0.0598517003312034,0.464989698359016,0.0908316525813186,0.0680328293412429,0.154339517114131,0.267447911460874,242.206227707783,109.958085929118,3.25401629400625,2.50351366134203,2.66031973602274,0.0953054762408209,0.436748790631198,0.440657340450333,0.472515412950013,0.473492390122076,0,0,0,0
"10",2333910.99193644,1619990.29617094,1.66452376479165,3.66910509915995,0.277044371754747,0.490330906311293,-9.42857521419026,301.534379160951,60.5446640302186,12.3492265485151,19.1657986332376,1984.98973273173,64.5948599772578,0.0661719609007669,0.162827811863671,3.88416310441202,0.775189208592406,0.4048215052013,1.21740044133625,6.35198308288987,572.808483778073,327.491516679631,31.3141819687896,45.8688455040771,23.1878131037531,0.972464587168168,1.41365509144866,2.13572029515114,2.13665103667947,2.13709266947976,1.41365509144866,2.13572029515114,2.13665103667947,2.13709266947976,934897.727540212,495876.029971643,0.606329415660641,0.649533110644703,0.575517556069682,0.574564175985438,1.51515378300677,45.0428343121906,7.68831306080297,1.05731724135815,1.77176433384281,176.192278050142,4.11899586988938,0.00938192858011074,0.0668073187009677,0.437403453486668,0.0363982430502336,0.0341951428337947,0.0644207738254828,0.289183895252741,193.463572448941,45.5763950221702,3.47091517762085,3.30934413420895,3.22177441530759,0.0703936650622991,0.361594914026367,0.516447616982975,0.515450815101649,0.515147163351547,0,0,0,0
