"MeanTemp","Precip","PrecipSeasonality","MeanDiurnalRange","Isothermality","TempSeasonality","TempAnnualRange","NDVImax","NDVIsum","EVImax","NDWImin","SWIRaug","BulkDens","pH","CStock","CDensity","Sand","Silt","Clay","Permafrost","site","Country","LON","LAT","Activity","CH4","Annual_cover","region","remove","reason","use","x","y","pc1","pc2","pc3","pc4"
-0.495833307504654,341,42.8396873474121,7.72499990463257,24.2924518585205,840.285278320312,31.8000011444092,0.675899982452393,3.69050002098083,0.30469998717308,0.373261988162994,0.0571999996900558,1.22602498531342,6.23750019073486,399,235.274993896484,52.8499984741211,36.125,11.125,0.000795729516539723,"Abisko, main tower","Sweden",18.7948,68.3624,"active","no","not_annual",NA,NA,NA,NA,766206.063653552,-2251385.27632802,-1.51351579143927,-2.11678914603982,-0.637875568270255,1.33908542798528
-5.52083349227905,308,19.8001384735107,5.49166679382324,20.339506149292,793.938537597656,27,0.449600011110306,1.55110001564026,0.191100001335144,0.0454545430839062,0.0737000033259392,1.20017504692078,6.92999982833862,443,455.075012207031,49.125,34.7750015258789,16.0249996185303,0.937373280525208,"Adventdalen","Norway",15.9242,78.1854,"active","no","annual",NA,NA,NA,NA,353401.626337806,-1238640.20044144,1.88579321216488,-3.55434603283492,-0.280341619378008,2.70374713335837
4.71250009536743,678,29.4440670013428,6.79166650772095,22.7146034240723,821.730773925781,29.9000015258789,0.546899974346161,3.65030002593994,0.309300005435944,0.070422537624836,0.142399996519089,1.32580006122589,6.13000011444092,392,283.5,44.4249992370605,29.0249996185303,26.6000003814697,0,"Aemmaessuo","Finland",24.534383,60.2365,"active","CH4","not_annual",NA,NA,NA,NA,1372647.42682939,-3007216.28062973,-0.95006627645724,-2.74630015646325,-1.28961931622233,3.40220287618777
5.39166688919067,607,35.4048843383789,7.71666669845581,24.7329063415527,855.030151367188,31.2000007629395,0.851100027561188,6.55310010910034,0.621100008487701,0.341399610042572,0.0531999990344048,1.39955008029938,5.99749994277954,402,315.125,57.2750015258789,29.7749996185303,13.2250003814697,0,"Agali Forest Station","Estonia",27.283525,58.287472,"active","CH4","not_annual",NA,NA,NA,NA,1619430.65656643,-3139804.27215625,-4.01838507242896,-1.6604504778206,-0.551169013908929,1.15775175640382
-12.2791662216187,363,23.3611946105957,7.09166669845581,14.5619440078735,1519.58349609375,48.7000007629395,0.636900007724762,2.09730005264282,0.365700006484985,0.306883871555328,0.105400003492832,0.893549978733063,6.44999980926514,655,448.399993896484,50.0250015258789,36.9749984741211,13.6000003814697,1,"Agapa","Russia",89.24999386,71.45037905,NA,NA,NA,"Taymyr","no","","",2032366.72723293,-26605.3556711161,2.49672225709112,-1.43570794783989,1.49575568447941,-0.241173388707018
-6.38333320617676,331,54.3725547790527,13.3833332061768,24.0275287628174,1654.328125,55.7000007629395,0.693400025367737,3.40210008621216,0.348699986934662,0.241343140602112,0.0557000003755093,1.03180003166199,6.11499977111816,702,399.799987792969,40.9500007629395,50.0999984741211,9.44999980926514,0.704396069049835,"Allakaket","USA",-152.6454995,66.56548342,NA,NA,NA,"Alaska","no","","",-1185901.95523069,2292290.34148912,0.816115792598825,1.64696060935195,1.02976567101941,-0.280560141023573
-4.5,232,71.3718338012695,9.83333301544189,21.4701595306396,1348.67614746094,45.7999992370605,0.733200013637543,3.68980002403259,0.402099996805191,0.185415044426918,0.0504000000655651,1.04182493686676,5.89499998092651,906,430.149993896484,31.75,53.9500007629395,14.2250003814697,0.791985273361206,"Ambler","USA",-157.8514091,67.08648521,NA,NA,NA,"Alaska","no","","",-950814.724347849,2335889.32204878,0.922735558001514,1.50733575673328,2.14763813767636,1.33807917340291
-9.67500019073486,213,62.0355072021484,9.69999980926514,20.8602142333984,1442.06372070312,46.5,0.722000002861023,3.15569996833801,0.471500009298325,0.344063311815262,0.0697000026702881,0.847750008106232,5.61749982833862,872,602.5,24.6499996185303,51.0999984741211,24.5249996185303,1,"Anaktuvuk River (moderate burn)","USA",-150.21,68.95,"active","no","not_annual",NA,NA,NA,NA,-1148739.13078121,2006623.60805389,1.63329067790724,1.91971639199379,3.72850360984597,1.38219947431703
-9.63749980926514,211,63.0667266845703,9.72500038146973,20.8244113922119,1448.14794921875,46.7000007629395,0.739199995994568,2.64299988746643,0.479499995708466,0.386750429868698,0.096000000834465,0.850450038909912,5.88749980926514,838,567.825012207031,25.1749992370605,48.5750007629395,26.2749996185303,1,"Anaktuvuk River (severe burn)","USA",-150.28,68.99,"active","no","not_annual",NA,NA,NA,NA,-1144060.79398947,2004126.2577951,1.87029280821649,1.87571505524573,3.33817504319702,1.60228629089414
-9.76249980926514,215,63.6144218444824,9.625,20.7883358001709,1441.55871582031,46.2999992370605,0.702700018882751,3.28229999542236,0.465999990701675,0.402952998876572,0.0899000018835068,0.822825014591217,5.81750011444092,740,653.125,28.3500003814697,50.4249992370605,21.375,1,"Anaktuvuk River (unburned)","USA",-150.27,68.93,"active","no","not_annual",NA,NA,NA,NA,-1147750.57789539,2009775.10359297,1.81044109986994,1.48818575427505,3.55255600192217,1.15717050114958
1.27083337306976,547,32.3166961669922,8.125,21.1588535308838,1020.00549316406,38.4000015258789,0.49549999833107,2.73390007019043,0.228400006890297,0.137055829167366,0.0736000016331673,1.09134995937347,5.76249980926514,633,418.674987792969,43.1749992370605,44.2000007629395,13.0249996185303,0,"Archangel","Russia",40.5450081,64.57495892,NA,NA,NA,"Arkhangel'sk","no","","",1824613.9312304,-2132953.34172578,-0.111558671350991,-2.14411776286703,0.908878040023613,1.66852111823975
